100.00,0.00
99.95,3.14
99.80,6.28
99.56,9.41
99.21,12.53
98.77,15.64
98.23,18.74
97.59,21.81
96.86,24.87
96.03,27.90
95.11,30.90
94.09,33.87
92.98,36.81
91.78,39.71
90.48,42.58
89.10,45.40
87.63,48.18
86.07,50.90
84.43,53.58
82.71,56.21
80.90,58.78
79.02,61.29
77.05,63.74
75.01,66.13
72.90,68.45
70.71,70.71
68.45,72.90
66.13,75.01
63.74,77.05
61.29,79.02
58.78,80.90
56.21,82.71
53.58,84.43
50.90,86.07
48.18,87.63
45.40,89.10
42.58,90.48
39.71,91.78
36.81,92.98
33.87,94.09
30.90,95.11
27.90,96.03
24.87,96.86
21.81,97.59
18.74,98.23
15.64,98.77
12.53,99.21
9.41,99.56
6.28,99.80
3.14,99.95
0.00,100.00
-3.14,99.95
-6.28,99.80
-9.41,99.56
-12.53,99.21
-15.64,98.77
-18.74,98.23
-21.81,97.59
-24.87,96.86
-27.90,96.03
-30.90,95.11
-33.87,94.09
-36.81,92.98
-39.71,91.78
-42.58,90.48
-45.40,89.10
-48.18,87.63
-50.90,86.07
-53.58,84.43
-56.21,82.71
-58.78,80.90
-61.29,79.02
-63.74,77.05
-66.13,75.01
-68.45,72.90
-70.71,70.71
-72.90,68.45
-75.01,66.13
-77.05,63.74
-79.02,61.29
-80.90,58.78
-82.71,56.21
-84.43,53.58
-86.07,50.90
-87.63,48.18
-89.10,45.40
-90.48,42.58
-91.78,39.71
-92.98,36.81
-94.09,33.87
-95.11,30.90
-96.03,27.90
-96.86,24.87
-97.59,21.81
-98.23,18.74
-98.77,15.64
-99.21,12.53
-99.56,9.41
-99.80,6.28
-99.95,3.14
-100.00,0.00
-99.95,-3.14
-99.80,-6.28
-99.56,-9.41
-99.21,-12.53
-98.77,-15.64
-98.23,-18.74
-97.59,-21.81
-96.86,-24.87
-96.03,-27.90
-95.11,-30.90
-94.09,-33.87
-92.98,-36.81
-91.78,-39.71
-90.48,-42.58
-89.10,-45.40
-87.63,-48.18
-86.07,-50.90
-84.43,-53.58
-82.71,-56.21
-80.90,-58.78
-79.02,-61.29
-77.05,-63.74
-75.01,-66.13
-72.90,-68.45
-70.71,-70.71
-68.45,-72.90
-66.13,-75.01
-63.74,-77.05
-61.29,-79.02
-58.78,-80.90
-56.21,-82.71
-53.58,-84.43
-50.90,-86.07
-48.18,-87.63
-45.40,-89.10
-42.58,-90.48
-39.71,-91.78
-36.81,-92.98
-33.87,-94.09
-30.90,-95.11
-27.90,-96.03
-24.87,-96.86
-21.81,-97.59
-18.74,-98.23
-15.64,-98.77
-12.53,-99.21
-9.41,-99.56
-6.28,-99.80
-3.14,-99.95
-0.00,-100.00
3.14,-99.95
6.28,-99.80
9.41,-99.56
12.53,-99.21
15.64,-98.77
18.74,-98.23
21.81,-97.59
24.87,-96.86
27.90,-96.03
30.90,-95.11
33.87,-94.09
36.81,-92.98
39.71,-91.78
42.58,-90.48
45.40,-89.10
48.18,-87.63
50.90,-86.07
53.58,-84.43
56.21,-82.71
58.78,-80.90
61.29,-79.02
63.74,-77.05
66.13,-75.01
68.45,-72.90
70.71,-70.71
72.90,-68.45
75.01,-66.13
77.05,-63.74
79.02,-61.29
80.90,-58.78
82.71,-56.21
84.43,-53.58
86.07,-50.90
87.63,-48.18
89.10,-45.40
90.48,-42.58
91.78,-39.71
92.98,-36.81
94.09,-33.87
95.11,-30.90
96.03,-27.90
96.86,-24.87
97.59,-21.81
98.23,-18.74
98.77,-15.64
99.21,-12.53
99.56,-9.41
99.80,-6.28
99.95,-3.14
100.00,0.00
